SMILES,Source
CC(C)Oc1ccc(N2C[C@@H](C(=O)Nc3nc4ccccc4s3)CC2=O)cc1,Preprocessed
COC(=O)[C@H](C)Oc1cc(O[C@@H](C)C(=O)OC)c2c(c1)oc(=O)c1ccccc12,Preprocessed
[O]N(=O)c1cccc(C(=O)Nc2ccc(N3CCCC3)c(C(=O)N3CCCC3)c2)c1,Preprocessed
Cc1cc(C(F)F)n2nc(C(=O)N(C)c3ccc(OC(F)(F)F)cc3)nc2n1,Preprocessed
O=C(CSc1n[nH]c(-c2ccc(S(=O)(=O)N3CCCCC3)cc2)n1)Nc1nccs1,Preprocessed
Cc1nnc(NC(=O)C2CCCN(S(=O)(=O)c3ccccc3C(F)(F)F)C2)s1,Preprocessed
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)CN(CC(C)C)C(=O)C2CC2)c(C)c1,Preprocessed
C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,Preprocessed
Cc1ccc(OCC(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)c(Br)c1,Preprocessed
COc1ccccc1NC(=O)C1CCN(S(=O)(=O)c2cc(Cl)ccc2Cl)CC1,Preprocessed
Cc1cc(Cl)ccc1OCC(=O)NC(=S)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1,Preprocessed
Cc1ccc(S(=O)(=O)OCC2C3CCC(C3)C2COS(=O)(=O)c2ccc(C)cc2)cc1,Preprocessed
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)CN(C(=O)COc2ccccc2)C(C)C)cc1,Preprocessed
Cc1ccc(S(=O)(=O)N(CC(=O)NC[C@@H]2CCCO2)C2CCCCC2)cc1,Preprocessed
Cc1ccc(S(=O)(=O)Nc2ccc(NC(=O)[C@H]3CCCC[C@H]3C(=O)O)cc2)cc1,Preprocessed
O=S(=O)(c1ccccc1)C(CC1CCCCC1O)S(=O)(=O)c1ccccc1,Preprocessed
C[C@H](Oc1ccccc1)C(=O)Nc1ccc(S(=O)(=O)NC[C@@H]2CCCO2)cc1,Preprocessed
COc1ccc(C(=O)N(CCCO)C(C)C(=O)NC2CCCCC2)cc1OC,Preprocessed
OC(c1cc(C(F)(F)F)nc2c(Cl)cc(Cl)cc12)C1CCCCN1,Preprocessed
CN1CCC(OC(=O)C(O)(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)CC1,Preprocessed
Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN([C@@H](C)c3ccc(C(F)(F)F)cc3)[C@@H](C)C2)CC1,Preprocessed
